"row ID","Regi�o","UF","Cidade","Sexo","Nome Fantasia","Segmento de Mercado","�rea","Assunto","Grupo Problema","Problema","Como Comprou Contratou","Procurou Empresa","Idade","Target","Year","Month","Day of week"
"Regi�o",1.0,1.0,,0.040271880541475874,,0.07881279146389492,0.06677294980063676,0.10059905274373156,0.05087848116325185,,0.060491561722439254,0.04908911064853695,,0.04002625988698858,,,
"UF",1.0,1.0,,0.0680733619576918,,0.0479838285356051,0.06003603834765299,0.07146121144476532,0.06851057669818553,,0.06530439748383177,0.08452886992632785,,0.06879640835388917,,,
"Cidade",,,1.0,,,,,,,,,,,,,,
"Sexo",0.040271880541475874,0.0680733619576918,,1.0,,0.09062833359313088,0.04907308380711837,0.12043599984220392,0.06136422237225729,,0.0732176726521139,0.017140058229528573,,0.009589690345005102,,,
"Nome Fantasia",,,,,1.0,,,,,,,,,,,,
"Segmento de Mercado",0.07881279146389492,0.0479838285356051,,0.09062833359313088,,1.0,0.7067061985659706,0.6934213524023332,0.2767184739816395,,0.33044457766195157,0.08580983240189592,,0.10398296230523121,,,
"�rea",0.06677294980063676,0.06003603834765299,,0.04907308380711837,,0.7067061985659706,1.0,0.9225863968051801,0.23514018618341762,,0.25301301804298426,0.06499989077088171,,0.09375398709047486,,,
"Assunto",0.10059905274373156,0.07146121144476532,,0.12043599984220392,,0.6934213524023332,0.9225863968051801,1.0,0.29267130819420334,,0.31184107202783573,0.13931427911079092,,0.12436252883478746,,,
"Grupo Problema",0.05087848116325185,0.06851057669818553,,0.06136422237225729,,0.2767184739816395,0.23514018618341762,0.29267130819420334,1.0,,0.17124024452744657,0.08678183451815241,,0.10931015326050257,,,
"Problema",,,,,,,,,,1.0,,,,,,,
"Como Comprou Contratou",0.060491561722439254,0.06530439748383177,,0.0732176726521139,,0.33044457766195157,0.25301301804298426,0.31184107202783573,0.17124024452744657,,1.0,0.06861498732135562,,0.07242090184396202,,,
"Procurou Empresa",0.04908911064853695,0.08452886992632785,,0.017140058229528573,,0.08580983240189592,0.06499989077088171,0.13931427911079092,0.08678183451815241,,0.06861498732135562,1.0,,0.01443179826863794,,,
"Idade",,,,,,,,,,,,,1.0,,0.02768042177625612,-0.027430574013334482,-0.005323724315614567
"Target",0.04002625988698858,0.06879640835388917,,0.009589690345005102,,0.10398296230523121,0.09375398709047486,0.12436252883478746,0.10931015326050257,,0.07242090184396202,0.01443179826863794,,1.0,,,
"Year",,,,,,,,,,,,,0.02768042177625612,,1.0,-0.925715946138812,0.03874155727867698
"Month",,,,,,,,,,,,,-0.027430574013334482,,-0.925715946138812,1.0,-0.051790941148830885
"Day of week",,,,,,,,,,,,,-0.005323724315614567,,0.03874155727867698,-0.051790941148830885,1.0
